               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  96,            0.077083,           0.0098836,            0.040881,             0.49632,             0.46888,             0.46147,             0.32252,            0.067516,           0.0076106,            0.036582,           0.0058531,           0.0058531,           0.0058531
                  97,             0.07703,           0.0098101,            0.041151,             0.50583,             0.46473,              0.4652,             0.32591,            0.067433,           0.0076167,            0.036488,           0.0057826,           0.0057826,           0.0057826
                  98,            0.076584,           0.0098125,            0.040311,             0.52221,             0.46069,              0.4664,             0.32661,            0.067411,           0.0075957,            0.036366,            0.005712,            0.005712,            0.005712
                  99,            0.076375,            0.009817,             0.04033,             0.52546,             0.46904,             0.47094,             0.33109,            0.067384,           0.0075722,            0.036275,           0.0056413,           0.0056413,           0.0056413
                 100,            0.076461,           0.0096663,             0.04006,             0.52548,             0.48052,             0.47353,             0.33182,            0.067358,           0.0075692,            0.036187,           0.0055707,           0.0055707,           0.0055707
                 101,            0.076594,           0.0097164,             0.04007,              0.5065,             0.49311,             0.47559,             0.33211,            0.067359,           0.0075603,            0.036136,              0.0055,              0.0055,              0.0055
                 102,            0.076402,           0.0098028,            0.039707,             0.48097,             0.50299,             0.47375,             0.33272,            0.067345,           0.0075377,            0.036065,           0.0054293,           0.0054293,           0.0054293
                 103,            0.076578,           0.0096263,            0.039784,              0.4762,             0.50812,             0.47545,             0.33391,            0.067265,           0.0075511,            0.035999,           0.0053587,           0.0053587,           0.0053587
                 104,            0.076711,           0.0097552,            0.039775,             0.56973,             0.44393,             0.47579,             0.33389,            0.067205,           0.0075231,            0.035919,            0.005288,            0.005288,            0.005288
                 105,             0.07628,           0.0096653,            0.039659,             0.49087,             0.49566,              0.4766,             0.33454,             0.06713,           0.0075314,            0.035841,           0.0052174,           0.0052174,           0.0052174
                 106,            0.075539,           0.0097096,            0.039299,             0.50374,             0.49045,              0.4783,               0.336,            0.067122,           0.0075401,            0.035783,           0.0051469,           0.0051469,           0.0051469
                 107,            0.075379,           0.0095872,            0.039013,             0.50715,             0.49021,             0.47868,             0.33651,            0.067106,            0.007534,            0.035727,           0.0050765,           0.0050765,           0.0050765
                 108,            0.075228,           0.0095997,            0.038902,             0.50098,             0.48995,             0.47929,             0.33648,            0.067083,           0.0075286,            0.035676,           0.0050062,           0.0050062,           0.0050062
                 109,            0.076123,           0.0096735,            0.038751,             0.52974,             0.47645,             0.48006,             0.33676,            0.066993,           0.0075272,            0.035611,            0.004936,            0.004936,            0.004936
                 110,            0.076308,           0.0096743,            0.038788,             0.53078,             0.47829,             0.48193,             0.33889,            0.066959,           0.0075014,            0.035547,           0.0048659,           0.0048659,           0.0048659
                 111,            0.074935,           0.0095997,             0.03818,              0.5344,             0.47566,             0.48281,             0.34021,            0.066935,           0.0074958,            0.035498,            0.004796,            0.004796,            0.004796
                 112,            0.075293,           0.0096196,            0.038461,             0.49959,             0.48255,             0.48361,             0.34148,            0.066902,           0.0074979,            0.035449,           0.0047263,           0.0047263,           0.0047263
                 113,            0.075419,           0.0096434,            0.038109,             0.52034,             0.47237,             0.48467,             0.34232,            0.066877,           0.0074966,            0.035396,           0.0046568,           0.0046568,           0.0046568
                 114,            0.075402,           0.0096037,            0.038271,             0.41634,             0.54265,             0.48578,             0.34279,            0.066823,           0.0074758,            0.035344,           0.0045875,           0.0045875,           0.0045875
                 115,            0.075515,           0.0095843,            0.038126,             0.41833,             0.54524,             0.48813,             0.34424,            0.066784,           0.0074849,            0.035297,           0.0045184,           0.0045184,           0.0045184
                 116,            0.075226,           0.0096239,            0.037876,              0.4272,             0.54062,             0.48833,             0.34372,             0.06673,           0.0074907,            0.035246,           0.0044495,           0.0044495,           0.0044495
